task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	db/437052	24524	GUNZIP_FASTA	CACHED	0	2021-03-02 17:57:32.478	5.2s	7ms	40.0%	0	0	57.9 KB	29.8 KB
2	f4/2712e4	24315	GUNZIP_GFF	CACHED	0	2021-03-02 17:57:31.810	5.4s	14ms	72.7%	0	0	50.3 KB	7.6 KB
5	fc/816319	29223	BOWTIE2_INDEX (GCF_009858895.2_ASM985889v3_genomic.200409.fna)	CACHED	0	2021-03-02 17:57:42.277	3.6s	347ms	105.6%	14.1 MB	42.6 MB	1.3 MB	8.3 MB
3	a3/61214a	21422	UNTAR_KRAKEN2_DB	CACHED	0	2021-03-02 17:57:27.204	6s	959ms	71.0%	7.4 MB	43.2 MB	91.9 MB	105.2 MB
4	18/49ce11	21420	CHECK_SAMPLESHEET (samplesheet_test_amplicon.csv)	CACHED	0	2021-03-02 17:57:27.190	4.6s	88ms	57.1%	3.2 MB	13.8 MB	665.5 KB	2.4 KB
6	d1/1ce809	30160	MAKE_SNPEFF_DB (GCF_009858895.2_ASM985889v3_genomic.200409.fa)	CACHED	0	2021-03-02 17:57:44.351	5.7s	2.5s	36.6%	75.3 MB	3.7 GB	9.9 MB	17.3 KB
7	05/76c4a5	28442	MAKE_BLAST_DB (GCF_009858895.2_ASM985889v3_genomic.200409.fna)	CACHED	0	2021-03-02 17:57:40.278	4.1s	84ms	77.8%	32.1 MB	558.9 GB	150.7 KB	56.6 KB
9	72/aaba5a	21428	output_documentation	CACHED	0	2021-03-02 17:57:27.214	5.2s	732ms	64.1%	16.2 MB	44.7 MB	3.4 MB	796.6 KB
10	44/78ee1f	26915	CAT_FASTQ (SAMPLE2_PE)	CACHED	0	2021-03-02 17:57:37.654	4.6s	21ms	53.3%	0	0	48.1 KB	187 B
11	bd/9341ad	26584	CAT_FASTQ (SAMPLE1_PE)	CACHED	0	2021-03-02 17:57:37.264	4.9s	11ms	33.3%	0	0	48.1 KB	187 B
12	94/11402e	25958	CAT_FASTQ (SAMPLE3_SE)	CACHED	0	2021-03-02 17:57:35.601	4.7s	29ms	32.0%	0	0	5.6 MB	5.5 MB
13	4d/115973	2630	FASTQC (SAMPLE1_PE)	CACHED	0	2021-03-02 17:58:04.470	10.1s	5.4s	249.3%	402.1 MB	3.3 GB	23.3 MB	4.7 MB
14	33/1abc6f	5069	FASTQC (SAMPLE2_PE)	CACHED	0	2021-03-02 17:58:14.541	10.4s	7.4s	174.6%	358.9 MB	3.3 GB	21.4 MB	4.7 MB
17	2d/ddf003	30899	FASTQC (SAMPLE3_SE)	CACHED	0	2021-03-02 17:57:45.876	8.7s	5.4s	183.8%	270.3 MB	3.3 GB	20.8 MB	2.4 MB
16	50/2ea4a2	32081	FASTP (SAMPLE3_SE)	CACHED	0	2021-03-02 17:57:50.029	14.4s	11.1s	142.7%	660.8 MB	3.3 GB	32.4 MB	9 MB
18	03/70faba	4055	FASTP (SAMPLE2_PE)	CACHED	0	2021-03-02 17:58:09.690	16.8s	12s	150.2%	915.7 MB	3.3 GB	32.1 MB	10.3 MB
15	d1/9e5acd	693	FASTP (SAMPLE1_PE)	CACHED	0	2021-03-02 17:57:54.576	15.1s	12.2s	160.6%	918.9 MB	3.3 GB	37.5 MB	11.8 MB
21	d2/f0c92c	10988	BOWTIE2 (SAMPLE1_PE)	CACHED	0	2021-03-02 17:58:49.342	1m 30s	1m 26s	184.6%	92.8 MB	760.1 MB	49.8 MB	40.9 MB
19	78/da8227	6672	BOWTIE2 (SAMPLE3_SE)	CACHED	0	2021-03-02 17:58:24.941	31.4s	27.9s	189.2%	56.1 MB	753.9 MB	47.5 MB	38.5 MB
23	40/34640c	15517	BOWTIE2 (SAMPLE2_PE)	CACHED	0	2021-03-02 17:59:20.752	1m 14s	1m 10s	186.7%	92.5 MB	760 MB	41.2 MB	32.3 MB
24	2a/1a3b1e	24882	SORT_BAM (SAMPLE1_PE)	CACHED	0	2021-03-02 18:00:45.101	4.1s	770ms	132.0%	38.5 MB	2 GB	15.7 MB	3.3 MB
27	73/efbd38	25587	SORT_BAM (SAMPLE2_PE)	CACHED	0	2021-03-02 18:00:47.679	3.8s	624ms	130.1%	32.3 MB	2 GB	12.1 MB	2.6 MB
28	a6/b97226	23282	SORT_BAM (SAMPLE3_SE)	CACHED	0	2021-03-02 18:00:41.220	3.9s	736ms	124.3%	37.2 MB	2 GB	13.5 MB	2.7 MB
26	1d/7d8690	10755	IVAR_TRIM (SAMPLE1_PE)	CACHED	0	2021-03-02 18:04:42.578	6.6s	3.4s	104.7%	9.2 MB	33.5 MB	22.5 MB	9.7 MB
31	b8/853377	26918	PICARD_MARKDUPLICATES (SAMPLE1_PE)	CACHED	0	2021-03-02 18:10:04.839	8.6s	5.7s	191.6%	2 GB	9.2 GB	30.4 MB	4.1 MB
32	e5/3978ea	20492	PICARD_METRICS (SAMPLE1_PE)	CACHED	0	2021-03-02 18:13:17.185	1m 24s	1m 21s	116.7%	798.5 MB	9.7 GB	63.2 MB	9.9 MB
33	00/50b745	24792	MOSDEPTH_GENOME (SAMPLE1_PE)	CACHED	0	2021-03-02 18:14:41.418	7.7s	4.9s	103.6%	332.1 MB	917.6 MB	28.5 MB	79.9 KB
30	e1/cf666c	10106	IVAR_TRIM (SAMPLE3_SE)	CACHED	0	2021-03-02 18:02:13.244	6.8s	4s	104.8%	37.6 MB	2 GB	18.4 MB	7.9 MB
36	69/f902d7	26744	BCFTOOLS_VARIANTS (SAMPLE1_PE)	CACHED	0	2021-03-02 18:14:52.164	3.8s	945ms	149.5%	43.2 MB	1.8 GB	9.2 MB	5.7 MB
37	ba/163f26	29527	PICARD_MARKDUPLICATES (SAMPLE3_SE)	CACHED	0	2021-03-02 18:08:42.061	8.8s	5.5s	209.7%	1.9 GB	9.2 GB	27.2 MB	3.4 MB
20	ef/8feec6	7230	CUTADAPT (SAMPLE3_SE)	CACHED	0	2021-03-02 17:58:26.498	22.8s	19.4s	166.6%	270.7 MB	3.3 GB	144.8 MB	124.6 MB
38	12/7c5689	21538	BCFTOOLS_SNPEFF (SAMPLE1_PE)	CACHED	0	2021-03-02 18:18:26.045	6.5s	3.7s	85.3%	119.3 MB	3.9 GB	20.3 MB	54.5 KB
40	54/015861	21993	KRAKEN2 (SAMPLE3_SE)	CACHED	0	2021-03-02 18:00:34.827	7s	3s	143.1%	85.8 MB	242 MB	110.9 MB	36.3 MB
