Found 196 primers in BED file
Amplicons detected: 

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 48045 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_1_LEFT	252
nCoV-2019_1_RIGHT	239
nCoV-2019_2_LEFT	97
nCoV-2019_2_RIGHT	95
nCoV-2019_3_LEFT	715
nCoV-2019_3_RIGHT	716
nCoV-2019_4_LEFT	682
nCoV-2019_4_RIGHT	653
nCoV-2019_5_LEFT	71
nCoV-2019_5_RIGHT	66
nCoV-2019_6_LEFT	89
nCoV-2019_6_RIGHT	25
nCoV-2019_7_LEFT	50
nCoV-2019_7_RIGHT	38
nCoV-2019_8_LEFT	112
nCoV-2019_8_RIGHT	143
nCoV-2019_9_LEFT	57
nCoV-2019_9_RIGHT	106
nCoV-2019_10_LEFT	101
nCoV-2019_10_RIGHT	89
nCoV-2019_11_LEFT	308
nCoV-2019_11_RIGHT	340
nCoV-2019_12_LEFT	138
nCoV-2019_12_RIGHT	126
nCoV-2019_13_LEFT	3
nCoV-2019_13_RIGHT	1
nCoV-2019_14_LEFT	749
nCoV-2019_14_RIGHT	652
nCoV-2019_15_LEFT	5
nCoV-2019_15_RIGHT	0
nCoV-2019_16_LEFT	300
nCoV-2019_16_RIGHT	421
nCoV-2019_17_LEFT	20
nCoV-2019_17_RIGHT	4
nCoV-2019_18_LEFT	1
nCoV-2019_18_RIGHT	43
nCoV-2019_19_LEFT	197
nCoV-2019_19_RIGHT	194
nCoV-2019_20_LEFT	88
nCoV-2019_20_RIGHT	80
nCoV-2019_21_LEFT	43
nCoV-2019_21_RIGHT	16
nCoV-2019_22_LEFT	1117
nCoV-2019_22_RIGHT	974
nCoV-2019_23_LEFT	61
nCoV-2019_23_RIGHT	164
nCoV-2019_24_LEFT	183
nCoV-2019_24_RIGHT	183
nCoV-2019_25_LEFT	421
nCoV-2019_25_RIGHT	488
nCoV-2019_26_LEFT	40
nCoV-2019_26_RIGHT	59
nCoV-2019_27_LEFT	317
nCoV-2019_27_RIGHT	319
nCoV-2019_28_LEFT	24
nCoV-2019_28_RIGHT	31
nCoV-2019_29_LEFT	0
nCoV-2019_29_RIGHT	0
nCoV-2019_30_LEFT	331
nCoV-2019_30_RIGHT	302
nCoV-2019_31_LEFT	149
nCoV-2019_31_RIGHT	94
nCoV-2019_32_LEFT	72
nCoV-2019_32_RIGHT	31
nCoV-2019_33_LEFT	111
nCoV-2019_33_RIGHT	185
nCoV-2019_34_LEFT	558
nCoV-2019_34_RIGHT	592
nCoV-2019_35_LEFT	73
nCoV-2019_35_RIGHT	17
nCoV-2019_36_LEFT	45
nCoV-2019_36_RIGHT	68
nCoV-2019_37_LEFT	90
nCoV-2019_37_RIGHT	148
nCoV-2019_38_LEFT	54
nCoV-2019_38_RIGHT	22
nCoV-2019_39_LEFT	83
nCoV-2019_39_RIGHT	102
nCoV-2019_40_LEFT	336
nCoV-2019_40_RIGHT	366
nCoV-2019_41_LEFT	244
nCoV-2019_41_RIGHT	192
nCoV-2019_42_LEFT	146
nCoV-2019_42_RIGHT	159
