## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SAMPLE1_PE.trim.sorted.bam] OUTPUT=SAMPLE1_PE.trim.mkD.sorted.bam METRICS_FILE=SAMPLE1_PE.trim.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 04 22:20:10 CET 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	24011	0	0	0	19772	8	0.823456	4254

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	0.999989	3344	0	3344
2.0	1.003526	349	8	349
3.0	1.003539	132	0	132
4.0	1.003539	90	0	90
5.0	1.003539	54	0	54
6.0	1.003539	39	0	39
7.0	1.003539	20	0	20
8.0	1.003539	21	0	21
9.0	1.003539	10	0	10
10.0	1.003539	16	0	16
11.0	1.003539	12	0	12
12.0	1.003539	4	0	4
13.0	1.003539	5	0	5
14.0	1.003539	8	0	8
15.0	1.003539	2	0	2
16.0	1.003539	4	0	4
17.0	1.003539	5	0	5
18.0	1.003539	1	0	1
19.0	1.003539	3	0	3
20.0	1.003539	7	0	7
21.0	1.003539	1	0	1
22.0	1.003539	6	0	6
23.0	1.003539	4	0	4
24.0	1.003539	1	0	1
25.0	1.003539	3	0	3
26.0	1.003539	3	0	3
27.0	1.003539	1	0	1
28.0	1.003539	0	0	0
29.0	1.003539	1	0	1
30.0	1.003539	2	0	2
31.0	1.003539	1	0	1
32.0	1.003539	4	0	4
33.0	1.003539	0	0	0
34.0	1.003539	1	0	1
35.0	1.003539	1	0	1
36.0	1.003539	1	0	1
37.0	1.003539	2	0	2
38.0	1.003539	0	0	0
39.0	1.003539	2	0	2
40.0	1.003539	2	0	2
41.0	1.003539	0	0	0
42.0	1.003539	1	0	1
43.0	1.003539	0	0	0
44.0	1.003539	0	0	0
45.0	1.003539	0	0	0
46.0	1.003539	0	0	0
47.0	1.003539	0	0	0
48.0	1.003539	1	0	1
49.0	1.003539	0	0	0
50.0	1.003539	2	0	2
51.0	1.003539	1	0	1
52.0	1.003539	0	0	0
53.0	1.003539	0	0	0
54.0	1.003539	0	0	0
55.0	1.003539	2	0	2
56.0	1.003539	1	0	1
57.0	1.003539	0	0	0
58.0	1.003539	0	0	0
59.0	1.003539	1	0	1
60.0	1.003539	0	0	0
61.0	1.003539	0	0	0
62.0	1.003539	2	0	2
63.0	1.003539	0	0	0
64.0	1.003539	0	0	0
65.0	1.003539	1	0	1
66.0	1.003539	1	0	1
67.0	1.003539	0	0	0
68.0	1.003539	0	0	0
69.0	1.003539	0	0	0
70.0	1.003539	1	0	1
71.0	1.003539	2	0	2
72.0	1.003539	1	0	1
73.0	1.003539	0	0	0
74.0	1.003539	0	0	0
75.0	1.003539	0	0	0
76.0	1.003539	1	0	1
77.0	1.003539	0	0	0
78.0	1.003539	1	0	1
79.0	1.003539	0	0	0
80.0	1.003539	0	0	0
81.0	1.003539	0	0	0
82.0	1.003539	0	0	0
83.0	1.003539	0	0	0
84.0	1.003539	0	0	0
85.0	1.003539	0	0	0
86.0	1.003539	0	0	0
87.0	1.003539	0	0	0
88.0	1.003539	1	0	1
89.0	1.003539	0	0	0
90.0	1.003539	0	0	0
91.0	1.003539	1	0	1
92.0	1.003539	1	0	1
93.0	1.003539	1	0	1
94.0	1.003539	0	0	0
95.0	1.003539	0	0	0
96.0	1.003539	0	0	0
97.0	1.003539	0	0	0
98.0	1.003539	1	0	1
99.0	1.003539	0	0	0
100.0	1.003539	0	0	0
105.0	0	1	0	1
106.0	0	1	0	1
109.0	0	1	0	1
110.0	0	1	0	1
113.0	0	1	0	1
114.0	0	1	0	1
124.0	0	1	0	1
133.0	0	1	0	1
139.0	0	1	0	1
146.0	0	1	0	1
147.0	0	1	0	1
148.0	0	1	0	1
151.0	0	1	0	1
153.0	0	2	0	2
166.0	0	2	0	2
167.0	0	1	0	1
188.0	0	1	0	1
206.0	0	1	0	1
208.0	0	0	0	1
209.0	0	2	0	1
216.0	0	1	0	1
222.0	0	1	0	1
226.0	0	1	0	1
236.0	0	1	0	1
256.0	0	1	0	1
272.0	0	1	0	1
280.0	0	0	0	1
281.0	0	1	0	0
289.0	0	1	0	1
290.0	0	1	0	1
311.0	0	1	0	1
321.0	0	1	0	1
397.0	0	1	0	1
418.0	0	1	0	1
442.0	0	0	0	1
443.0	0	1	0	0
444.0	0	1	0	1
495.0	0	2	0	2
526.0	0	1	0	1
527.0	0	1	0	1
532.0	0	0	0	1
533.0	0	1	0	0
591.0	0	0	0	1
592.0	0	1	0	0
601.0	0	0	0	1
602.0	0	1	0	0
650.0	0	1	0	1
709.0	0	1	0	1
836.0	0	0	0	1
837.0	0	1	0	0
889.0	0	0	0	1
890.0	0	1	0	0

