## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SAMPLE2_PE.trim.sorted.bam] OUTPUT=SAMPLE2_PE.trim.mkD.sorted.bam METRICS_FILE=SAMPLE2_PE.trim.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 02 18:10:17 CET 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	18972	0	0	1	16660	2	0.878139	2312

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	0.999727	1709	0	1709
2.0	1	240	2	240
3.0	1	87	0	87
4.0	1	42	0	42
5.0	1	35	0	35
6.0	1	19	0	19
7.0	1	14	0	14
8.0	1	10	0	10
9.0	1	17	0	17
10.0	1	16	0	16
11.0	1	5	0	5
12.0	1	7	0	7
13.0	1	8	0	8
14.0	1	0	0	0
15.0	1	7	0	7
16.0	1	3	0	3
17.0	1	2	0	2
18.0	1	1	0	1
19.0	1	7	0	7
20.0	1	3	0	3
21.0	1	0	0	0
22.0	1	2	0	2
23.0	1	2	0	2
24.0	1	0	0	0
25.0	1	3	0	3
26.0	1	0	0	0
27.0	1	1	0	1
28.0	1	1	0	1
29.0	1	0	0	0
30.0	1	0	0	0
31.0	1	2	0	2
32.0	1	0	0	0
33.0	1	0	0	0
34.0	1	0	0	0
35.0	1	1	0	1
36.0	1	0	0	0
37.0	1	0	0	0
38.0	1	0	0	0
39.0	1	0	0	0
40.0	1	1	0	1
41.0	1	1	0	1
42.0	1	1	0	1
43.0	1	1	0	1
44.0	1	0	0	0
45.0	1	0	0	0
46.0	1	0	0	0
47.0	1	0	0	0
48.0	1	0	0	0
49.0	1	1	0	1
50.0	1	0	0	0
51.0	1	3	0	3
52.0	1	1	0	1
53.0	1	1	0	1
54.0	1	1	0	1
55.0	1	0	0	0
56.0	1	1	0	1
57.0	1	0	0	0
58.0	1	0	0	0
59.0	1	0	0	0
60.0	1	0	0	0
61.0	1	0	0	0
62.0	1	0	0	0
63.0	1	1	0	1
64.0	1	0	0	0
65.0	1	0	0	0
66.0	1	1	0	1
67.0	1	2	0	2
68.0	1	0	0	0
69.0	1	0	0	0
70.0	1	1	0	1
71.0	1	0	0	0
72.0	1	0	0	0
73.0	1	0	0	0
74.0	1	0	0	0
75.0	1	0	0	0
76.0	1	1	0	1
77.0	1	0	0	0
78.0	1	0	0	0
79.0	1	0	0	0
80.0	1	0	0	0
81.0	1	0	0	0
82.0	1	0	0	0
83.0	1	0	0	0
84.0	1	0	0	0
85.0	1	1	0	1
86.0	1	1	0	1
87.0	1	0	0	0
88.0	1	0	0	0
89.0	1	0	0	0
90.0	1	0	0	0
91.0	1	1	0	1
92.0	1	1	0	1
93.0	1	0	0	0
94.0	1	0	0	0
95.0	1	0	0	0
96.0	1	0	0	0
97.0	1	1	0	1
98.0	1	0	0	0
99.0	1	0	0	0
100.0	1	0	0	0
126.0	0	1	0	1
133.0	0	1	0	1
134.0	0	1	0	1
140.0	0	1	0	1
143.0	0	1	0	1
146.0	0	1	0	1
166.0	0	2	0	2
173.0	0	1	0	1
180.0	0	1	0	1
198.0	0	1	0	1
216.0	0	1	0	1
243.0	0	1	0	1
244.0	0	1	0	1
249.0	0	1	0	1
255.0	0	1	0	1
258.0	0	1	0	1
263.0	0	1	0	1
264.0	0	1	0	1
268.0	0	1	0	1
278.0	0	1	0	1
299.0	0	1	0	1
303.0	0	1	0	1
331.0	0	1	0	1
332.0	0	1	0	1
369.0	0	1	0	1
373.0	0	1	0	1
397.0	0	1	0	1
405.0	0	0	0	1
406.0	0	1	0	0
451.0	0	1	0	1
465.0	0	1	0	1
467.0	0	0	0	1
468.0	0	1	0	0
487.0	0	1	0	1
517.0	0	1	0	1
547.0	0	1	0	1
604.0	0	1	0	1
624.0	0	1	0	1
891.0	0	1	0	1
1060.0	0	1	0	1

