Found 196 primers in BED file
Amplicons detected: 

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 37979 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_1_LEFT	363
nCoV-2019_1_RIGHT	356
nCoV-2019_2_LEFT	29
nCoV-2019_2_RIGHT	28
nCoV-2019_3_LEFT	563
nCoV-2019_3_RIGHT	547
nCoV-2019_4_LEFT	727
nCoV-2019_4_RIGHT	719
nCoV-2019_5_LEFT	85
nCoV-2019_5_RIGHT	75
nCoV-2019_6_LEFT	67
nCoV-2019_6_RIGHT	31
nCoV-2019_7_LEFT	77
nCoV-2019_7_RIGHT	87
nCoV-2019_8_LEFT	75
nCoV-2019_8_RIGHT	73
nCoV-2019_9_LEFT	41
nCoV-2019_9_RIGHT	63
nCoV-2019_10_LEFT	21
nCoV-2019_10_RIGHT	19
nCoV-2019_11_LEFT	323
nCoV-2019_11_RIGHT	334
nCoV-2019_12_LEFT	20
nCoV-2019_12_RIGHT	21
nCoV-2019_13_LEFT	0
nCoV-2019_13_RIGHT	0
nCoV-2019_14_LEFT	560
nCoV-2019_14_RIGHT	536
nCoV-2019_15_LEFT	0
nCoV-2019_15_RIGHT	0
nCoV-2019_16_LEFT	185
nCoV-2019_16_RIGHT	211
nCoV-2019_17_LEFT	3
nCoV-2019_17_RIGHT	0
nCoV-2019_18_LEFT	1
nCoV-2019_18_RIGHT	16
nCoV-2019_19_LEFT	185
nCoV-2019_19_RIGHT	186
nCoV-2019_20_LEFT	25
nCoV-2019_20_RIGHT	23
nCoV-2019_21_LEFT	18
nCoV-2019_21_RIGHT	12
nCoV-2019_22_LEFT	1229
nCoV-2019_22_RIGHT	1177
nCoV-2019_23_LEFT	27
nCoV-2019_23_RIGHT	64
nCoV-2019_24_LEFT	297
nCoV-2019_24_RIGHT	297
nCoV-2019_25_LEFT	333
nCoV-2019_25_RIGHT	390
nCoV-2019_26_LEFT	17
nCoV-2019_26_RIGHT	21
nCoV-2019_27_LEFT	203
nCoV-2019_27_RIGHT	208
nCoV-2019_28_LEFT	5
nCoV-2019_28_RIGHT	5
nCoV-2019_29_LEFT	0
nCoV-2019_29_RIGHT	0
nCoV-2019_30_LEFT	218
nCoV-2019_30_RIGHT	211
nCoV-2019_31_LEFT	87
nCoV-2019_31_RIGHT	69
nCoV-2019_32_LEFT	16
nCoV-2019_32_RIGHT	14
nCoV-2019_33_LEFT	108
nCoV-2019_33_RIGHT	126
nCoV-2019_34_LEFT	527
nCoV-2019_34_RIGHT	548
nCoV-2019_35_LEFT	53
nCoV-2019_35_RIGHT	29
nCoV-2019_36_LEFT	26
nCoV-2019_36_RIGHT	28
nCoV-2019_37_LEFT	171
nCoV-2019_37_RIGHT	189
nCoV-2019_38_LEFT	8
nCoV-2019_38_RIGHT	6
nCoV-2019_39_LEFT	26
nCoV-2019_39_RIGHT	27
nCoV-2019_40_LEFT	317
nCoV-2019_40_RIGHT	314
nCoV-2019_41_LEFT	174
nCoV-2019_41_RIGHT	168
nCoV-2019_42_LEFT	61
nCoV-2019_42_RIGHT	71
nCoV-2019_43_LEFT	33
nCoV-2019_43_RIGHT	50
nCoV-2019_44_LEFT	387
nCoV-2019_44_RIGHT	379
nCoV-2019_45_LEFT	18
nCoV-2019_45_RIGHT	22
nCoV-2019_46_LEFT	326
nCoV-2019_46_RIGHT	282
nCoV-2019_47_LEFT	210
nCoV-2019_47_RIGHT	269
nCoV-2019_48_LEFT	308
nCoV-2019_48_RIGHT	318
nCoV-2019_49_LEFT	465
