ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	0:1-2859,18:1-631,21:1-832,1:1228-1,12:627-1,15:1-697,9:1-1610,5:1866-1,6:3319-1,10:2549-1,13:1325-1,11:1-688,2:691-1,3:1528-1,14:1-1631,4:1594-1
id-NC_045512.2:1..265		1	265	partial	0:1-220
gene-GU280_gp01		266	21555	partial	0:221-2859,18:1-631,21:1-832,1:1228-1,12:627-1,15:1-697,9:1-1610,5:1866-1,6:3319-1,10:2549-1,13:1325-1
cds-YP_009724389.1		266	13468	partial	0:221-2859,18:1-631,21:1-832,1:1228-1,12:627-1,15:1-697,9:1-1610,5:1866-1
cds-YP_009724389.1		13468	21555	partial	6:3249-1,10:2549-1,13:1325-1
cds-YP_009725295.1		266	13483	partial	0:221-2859,18:1-631,21:1-832,1:1228-1,12:627-1,15:1-697,9:1-1610,5:1866-1
id-GU280_gp01		13476	13503	complete	6:3241-3214
id-GU280_gp01-2		13488	13542	complete	6:3229-3175
gene-GU280_gp02		21563	25384	partial	11:1-688,2:691-1,3:1528-290
cds-YP_009724390.1		21563	25384	partial	11:1-688,2:691-1,3:1528-290
gene-GU280_gp03		25393	26220	partial	3:281-1,14:1-318
cds-YP_009724391.1		25393	26220	partial	3:281-1,14:1-318
gene-GU280_gp04		26245	26472	complete	14:343-570
cds-YP_009724392.1		26245	26472	complete	14:343-570
gene-GU280_gp05		26523	27191	complete	14:621-1289
cds-YP_009724393.1		26523	27191	complete	14:621-1289
gene-GU280_gp06		27202	27387	complete	14:1300-1485
cds-YP_009724394.1		27202	27387	complete	14:1300-1485
gene-GU280_gp07		27394	27759	partial	14:1492-1631
cds-YP_009724395.1		27394	27759	partial	14:1492-1631
gene-GU280_gp08		27756	27887	partial	4:1594-1492
cds-YP_009725318.1		27756	27887	partial	4:1594-1492
gene-GU280_gp09		27894	28259	complete	4:1485-1120
cds-YP_009724396.1		27894	28259	complete	4:1485-1120
gene-GU280_gp10		28274	29533	partial	4:1105-1
cds-YP_009724397.2		28274	29533	partial	4:1105-1
