ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	NODE_2_length_8704_cov_363.700428:44-8657,NODE_1_length_20973_cov_392.636820:20973-23
id-NC_045512.2:1..265		1	265	partial	NODE_2_length_8704_cov_363.700428:44-242
gene-GU280_gp01		266	21555	partial	NODE_2_length_8704_cov_363.700428:243-8657,NODE_1_length_20973_cov_392.636820:20973-8307
cds-YP_009724389.1		266	13468	partial	NODE_2_length_8704_cov_363.700428:243-8657,NODE_1_length_20973_cov_392.636820:20973-16394
cds-YP_009724389.1		13468	21555	complete	NODE_1_length_20973_cov_392.636820:16394-8307
cds-YP_009725295.1		266	13483	partial	NODE_2_length_8704_cov_363.700428:243-8657,NODE_1_length_20973_cov_392.636820:20973-16379
id-GU280_gp01		13476	13503	complete	NODE_1_length_20973_cov_392.636820:16386-16359
id-GU280_gp01-2		13488	13542	complete	NODE_1_length_20973_cov_392.636820:16374-16320
gene-GU280_gp02		21563	25384	complete	NODE_1_length_20973_cov_392.636820:8299-4478
cds-YP_009724390.1		21563	25384	complete	NODE_1_length_20973_cov_392.636820:8299-4478
gene-GU280_gp03		25393	26220	complete	NODE_1_length_20973_cov_392.636820:4469-3642
cds-YP_009724391.1		25393	26220	complete	NODE_1_length_20973_cov_392.636820:4469-3642
gene-GU280_gp04		26245	26472	complete	NODE_1_length_20973_cov_392.636820:3617-3390
cds-YP_009724392.1		26245	26472	complete	NODE_1_length_20973_cov_392.636820:3617-3390
gene-GU280_gp05		26523	27191	complete	NODE_1_length_20973_cov_392.636820:3339-2671
cds-YP_009724393.1		26523	27191	complete	NODE_1_length_20973_cov_392.636820:3339-2671
gene-GU280_gp06		27202	27387	complete	NODE_1_length_20973_cov_392.636820:2660-2475
cds-YP_009724394.1		27202	27387	complete	NODE_1_length_20973_cov_392.636820:2660-2475
gene-GU280_gp07		27394	27759	complete	NODE_1_length_20973_cov_392.636820:2468-2103
cds-YP_009724395.1		27394	27759	complete	NODE_1_length_20973_cov_392.636820:2468-2103
gene-GU280_gp08		27756	27887	complete	NODE_1_length_20973_cov_392.636820:2106-1975
cds-YP_009725318.1		27756	27887	complete	NODE_1_length_20973_cov_392.636820:2106-1975
gene-GU280_gp09		27894	28259	complete	NODE_1_length_20973_cov_392.636820:1968-1603
cds-YP_009724396.1		27894	28259	complete	NODE_1_length_20973_cov_392.636820:1968-1603
gene-GU280_gp10		28274	29533	complete	NODE_1_length_20973_cov_392.636820:1588-329
cds-YP_009724397.2		28274	29533	complete	NODE_1_length_20973_cov_392.636820:1588-329
gene-GU280_gp11		29558	29674	complete	NODE_1_length_20973_cov_392.636820:304-188
cds-YP_009725255.1		29558	29674	complete	NODE_1_length_20973_cov_392.636820:304-188
id-GU280_gp11		29609	29644	complete	NODE_1_length_20973_cov_392.636820:253-218
id-GU280_gp11-2		29629	29657	complete	NODE_1_length_20973_cov_392.636820:233-205
id-NC_045512.2:29675..29903		29675	29903	partial	NODE_1_length_20973_cov_392.636820:187-23
id-NC_045512.2:29728..29768		29728	29768	complete	NODE_1_length_20973_cov_392.636820:134-94
