chrom	start	end	coverage	sample
NC_045512.2	0	200	13.05	SAMPLE3_SE
NC_045512.2	200	400	21.72	SAMPLE3_SE
NC_045512.2	400	600	15.7	SAMPLE3_SE
NC_045512.2	600	800	31.76	SAMPLE3_SE
NC_045512.2	800	1000	43.57	SAMPLE3_SE
NC_045512.2	1000	1200	42.75	SAMPLE3_SE
NC_045512.2	1200	1400	42.47	SAMPLE3_SE
NC_045512.2	1400	1600	27.65	SAMPLE3_SE
NC_045512.2	1600	1800	33.55	SAMPLE3_SE
NC_045512.2	1800	2000	56.44	SAMPLE3_SE
NC_045512.2	2000	2200	66.58	SAMPLE3_SE
NC_045512.2	2200	2400	48.8	SAMPLE3_SE
NC_045512.2	2400	2600	31.85	SAMPLE3_SE
NC_045512.2	2600	2800	36.46	SAMPLE3_SE
NC_045512.2	2800	3000	24.91	SAMPLE3_SE
NC_045512.2	3000	3200	21.81	SAMPLE3_SE
NC_045512.2	3200	3400	37.66	SAMPLE3_SE
NC_045512.2	3400	3600	27.04	SAMPLE3_SE
NC_045512.2	3600	3800	19.97	SAMPLE3_SE
NC_045512.2	3800	4000	10.49	SAMPLE3_SE
NC_045512.2	4000	4200	22.56	SAMPLE3_SE
NC_045512.2	4200	4400	42.21	SAMPLE3_SE
NC_045512.2	4400	4600	13.29	SAMPLE3_SE
NC_045512.2	4600	4800	27.81	SAMPLE3_SE
NC_045512.2	4800	5000	36.37	SAMPLE3_SE
NC_045512.2	5000	5200	11.13	SAMPLE3_SE
NC_045512.2	5200	5400	6.94	SAMPLE3_SE
NC_045512.2	5400	5600	7.72	SAMPLE3_SE
NC_045512.2	5600	5800	17.22	SAMPLE3_SE
NC_045512.2	5800	6000	16.96	SAMPLE3_SE
NC_045512.2	6000	6200	14.76	SAMPLE3_SE
NC_045512.2	6200	6400	17.86	SAMPLE3_SE
NC_045512.2	6400	6600	32.06	SAMPLE3_SE
NC_045512.2	6600	6800	65.79	SAMPLE3_SE
NC_045512.2	6800	7000	52.04	SAMPLE3_SE
NC_045512.2	7000	7200	52.65	SAMPLE3_SE
NC_045512.2	7200	7400	65.92	SAMPLE3_SE
NC_045512.2	7400	7600	57.45	SAMPLE3_SE
NC_045512.2	7600	7800	26.17	SAMPLE3_SE
NC_045512.2	7800	8000	21.48	SAMPLE3_SE
NC_045512.2	8000	8200	20.04	SAMPLE3_SE
