chrom	start	end	coverage	sample
NC_045512.2	0	200	28.41	SAMPLE2_PE
NC_045512.2	200	400	39.48	SAMPLE2_PE
NC_045512.2	400	600	17.92	SAMPLE2_PE
NC_045512.2	600	800	54.86	SAMPLE2_PE
NC_045512.2	800	1000	86.25	SAMPLE2_PE
NC_045512.2	1000	1200	92.77	SAMPLE2_PE
NC_045512.2	1200	1400	69.28	SAMPLE2_PE
NC_045512.2	1400	1600	49.97	SAMPLE2_PE
NC_045512.2	1600	1800	58.75	SAMPLE2_PE
NC_045512.2	1800	2000	60.41	SAMPLE2_PE
NC_045512.2	2000	2200	71.94	SAMPLE2_PE
NC_045512.2	2200	2400	59.12	SAMPLE2_PE
NC_045512.2	2400	2600	44.38	SAMPLE2_PE
NC_045512.2	2600	2800	46.6	SAMPLE2_PE
NC_045512.2	2800	3000	24.92	SAMPLE2_PE
NC_045512.2	3000	3200	19	SAMPLE2_PE
NC_045512.2	3200	3400	65.47	SAMPLE2_PE
NC_045512.2	3400	3600	34.65	SAMPLE2_PE
NC_045512.2	3600	3800	15.38	SAMPLE2_PE
NC_045512.2	3800	4000	1.44	SAMPLE2_PE
NC_045512.2	4000	4200	17.35	SAMPLE2_PE
NC_045512.2	4200	4400	35.53	SAMPLE2_PE
NC_045512.2	4400	4600	6.49	SAMPLE2_PE
NC_045512.2	4600	4800	27.5	SAMPLE2_PE
NC_045512.2	4800	5000	39.52	SAMPLE2_PE
NC_045512.2	5000	5200	6.48	SAMPLE2_PE
NC_045512.2	5200	5400	7.76	SAMPLE2_PE
NC_045512.2	5400	5600	16.21	SAMPLE2_PE
NC_045512.2	5600	5800	27.36	SAMPLE2_PE
NC_045512.2	5800	6000	23.87	SAMPLE2_PE
NC_045512.2	6000	6200	16.29	SAMPLE2_PE
NC_045512.2	6200	6400	24.19	SAMPLE2_PE
NC_045512.2	6400	6600	69.09	SAMPLE2_PE
NC_045512.2	6600	6800	145.15	SAMPLE2_PE
NC_045512.2	6800	7000	51.91	SAMPLE2_PE
NC_045512.2	7000	7200	59.4	SAMPLE2_PE
NC_045512.2	7200	7400	87.55	SAMPLE2_PE
NC_045512.2	7400	7600	91.19	SAMPLE2_PE
NC_045512.2	7600	7800	36.08	SAMPLE2_PE
NC_045512.2	7800	8000	27.08	SAMPLE2_PE
NC_045512.2	8000	8200	42.05	SAMPLE2_PE
NC_045512.2	8200	8400	22.72	SAMPLE2_PE
NC_045512.2	8400	8600	5.29	SAMPLE2_PE
NC_045512.2	8600	8800	0.53	SAMPLE2_PE
NC_045512.2	8800	9000	14.74	SAMPLE2_PE
NC_045512.2	9000	9200	44.98	SAMPLE2_PE
NC_045512.2	9200	9400	25.9	SAMPLE2_PE
NC_045512.2	9400	9600	23.11	SAMPLE2_PE
NC_045512.2	9600	9800	9.88	SAMPLE2_PE
NC_045512.2	9800	10000	33.94	SAMPLE2_PE
NC_045512.2	10000	10200	56.24	SAMPLE2_PE
NC_045512.2	10200	10400	82.61	SAMPLE2_PE
NC_045512.2	10400	10600	42.59	SAMPLE2_PE
NC_045512.2	10600	10800	23.53	SAMPLE2_PE
NC_045512.2	10800	11000	21.16	SAMPLE2_PE
NC_045512.2	11000	11200	47.23	SAMPLE2_PE
