chrom	start	end	region	coverage	sample
NC_045512.2	30	410	nCoV-2019_1	44	SAMPLE2_PE
NC_045512.2	320	726	nCoV-2019_2	19	SAMPLE2_PE
NC_045512.2	642	1028	nCoV-2019_3	87	SAMPLE2_PE
NC_045512.2	943	1337	nCoV-2019_4	97	SAMPLE2_PE
NC_045512.2	1242	1651	nCoV-2019_5	57	SAMPLE2_PE
NC_045512.2	1573	1964	nCoV-2019_6	60	SAMPLE2_PE
NC_045512.2	1875	2269	nCoV-2019_7	68	SAMPLE2_PE
NC_045512.2	2181	2592	nCoV-2019_8	57	SAMPLE2_PE
NC_045512.2	2505	2904	nCoV-2019_9	45	SAMPLE2_PE
NC_045512.2	2826	3210	nCoV-2019_10	18	SAMPLE2_PE
NC_045512.2	3144	3531	nCoV-2019_11	67	SAMPLE2_PE
NC_045512.2	3460	3853	nCoV-2019_12	17	SAMPLE2_PE
NC_045512.2	3771	4164	nCoV-2019_13	1	SAMPLE2_PE
NC_045512.2	4054	4450	nCoV-2019_14	34	SAMPLE2_PE
NC_045512.2	4294	4696	nCoV-2019_15	5	SAMPLE2_PE
NC_045512.2	4636	5017	nCoV-2019_16	44	SAMPLE2_PE
NC_045512.2	4939	5321	nCoV-2019_17	6	SAMPLE2_PE
NC_045512.2	5230	5644	nCoV-2019_18	15	SAMPLE2_PE
NC_045512.2	5563	5957	nCoV-2019_19	29	SAMPLE2_PE
NC_045512.2	5867	6272	nCoV-2019_20	18	SAMPLE2_PE
NC_045512.2	6167	6550	nCoV-2019_21	25	SAMPLE2_PE
NC_045512.2	6466	6873	nCoV-2019_22	108	SAMPLE2_PE
NC_045512.2	6718	7117	nCoV-2019_23	38	SAMPLE2_PE
NC_045512.2	7035	7415	nCoV-2019_24	81	SAMPLE2_PE
NC_045512.2	7305	7694	nCoV-2019_25	91	SAMPLE2_PE
NC_045512.2	7626	8019	nCoV-2019_26	28	SAMPLE2_PE
NC_045512.2	7943	8341	nCoV-2019_27	45	SAMPLE2_PE
NC_045512.2	8249	8661	nCoV-2019_28	6	SAMPLE2_PE
NC_045512.2	8595	8983	nCoV-2019_29	0	SAMPLE2_PE
NC_045512.2	8888	9271	nCoV-2019_30	46	SAMPLE2_PE
NC_045512.2	9204	9585	nCoV-2019_31	28	SAMPLE2_PE
NC_045512.2	9477	9858	nCoV-2019_32	12	SAMPLE2_PE
NC_045512.2	9784	10171	nCoV-2019_33	42	SAMPLE2_PE
NC_045512.2	10076	10459	nCoV-2019_34	82	SAMPLE2_PE
NC_045512.2	10362	10763	nCoV-2019_35	35	SAMPLE2_PE
NC_045512.2	10666	11074	nCoV-2019_36	22	SAMPLE2_PE
NC_045512.2	10999	11394	nCoV-2019_37	58	SAMPLE2_PE
NC_045512.2	11306	11693	nCoV-2019_38	18	SAMPLE2_PE
NC_045512.2	11555	11949	nCoV-2019_39	32	SAMPLE2_PE
NC_045512.2	11863	12256	nCoV-2019_40	64	SAMPLE2_PE
NC_045512.2	12110	12490	nCoV-2019_41	47	SAMPLE2_PE
NC_045512.2	12417	12802	nCoV-2019_42	42	SAMPLE2_PE
NC_045512.2	12710	13096	nCoV-2019_43	39	SAMPLE2_PE
NC_045512.2	13005	13400	nCoV-2019_44	64	SAMPLE2_PE
NC_045512.2	13319	13699	nCoV-2019_45	21	SAMPLE2_PE
NC_045512.2	13599	13984	nCoV-2019_46	71	SAMPLE2_PE
NC_045512.2	13918	14299	nCoV-2019_47	101	SAMPLE2_PE
NC_045512.2	14207	14601	nCoV-2019_48	87	SAMPLE2_PE
NC_045512.2	14545	14926	nCoV-2019_49	67	SAMPLE2_PE
NC_045512.2	14865	15246	nCoV-2019_50	106	SAMPLE2_PE
NC_045512.2	15171	15560	nCoV-2019_51	65	SAMPLE2_PE
NC_045512.2	15481	15886	nCoV-2019_52	71	SAMPLE2_PE
NC_045512.2	15827	16209	nCoV-2019_53	79	SAMPLE2_PE
NC_045512.2	16118	16510	nCoV-2019_54	29	SAMPLE2_PE
NC_045512.2	16416	16833	nCoV-2019_55	15	SAMPLE2_PE
NC_045512.2	16748	17152	nCoV-2019_56	34	SAMPLE2_PE
NC_045512.2	17065	17452	nCoV-2019_57	46	SAMPLE2_PE
NC_045512.2	17381	17761	nCoV-2019_58	72	SAMPLE2_PE
NC_045512.2	17674	18062	nCoV-2019_59	57	SAMPLE2_PE
NC_045512.2	17966	18348	nCoV-2019_60	51	SAMPLE2_PE
NC_045512.2	18253	18672	nCoV-2019_61	74	SAMPLE2_PE
NC_045512.2	18596	18979	nCoV-2019_62	80	SAMPLE2_PE
NC_045512.2	18896	19297	nCoV-2019_63	60	SAMPLE2_PE
NC_045512.2	19204	19616	nCoV-2019_64	2	SAMPLE2_PE
NC_045512.2	19548	19939	nCoV-2019_65	7	SAMPLE2_PE
NC_045512.2	19844	20255	nCoV-2019_66	23	SAMPLE2_PE
NC_045512.2	20172	20572	nCoV-2019_67	38	SAMPLE2_PE
NC_045512.2	20472	20890	nCoV-2019_68	25	SAMPLE2_PE
NC_045512.2	20786	21169	nCoV-2019_69	39	SAMPLE2_PE
NC_045512.2	21075	21455	nCoV-2019_70	2	SAMPLE2_PE
NC_045512.2	21357	21743	nCoV-2019_71	2	SAMPLE2_PE
NC_045512.2	21658	22038	nCoV-2019_72	45	SAMPLE2_PE
NC_045512.2	21961	22346	nCoV-2019_73	31	SAMPLE2_PE
NC_045512.2	22262	22650	nCoV-2019_74	8	SAMPLE2_PE
NC_045512.2	22516	22903	nCoV-2019_75	27	SAMPLE2_PE
NC_045512.2	22797	23214	nCoV-2019_76	18	SAMPLE2_PE
NC_045512.2	23122	23522	nCoV-2019_77	112	SAMPLE2_PE
NC_045512.2	23443	23847	nCoV-2019_78	63	SAMPLE2_PE
NC_045512.2	23789	24169	nCoV-2019_79	8	SAMPLE2_PE
NC_045512.2	24078	24467	nCoV-2019_80	21	SAMPLE2_PE
NC_045512.2	24391	24789	nCoV-2019_81	44	SAMPLE2_PE
NC_045512.2	24696	25076	nCoV-2019_82	46	SAMPLE2_PE
NC_045512.2	24978	25369	nCoV-2019_83	54	SAMPLE2_PE
NC_045512.2	25279	25673	nCoV-2019_84	50	SAMPLE2_PE
NC_045512.2	25601	25994	nCoV-2019_85	1	SAMPLE2_PE
NC_045512.2	25902	26315	nCoV-2019_86	29	SAMPLE2_PE
NC_045512.2	26197	26590	nCoV-2019_87	84	SAMPLE2_PE
NC_045512.2	26520	26913	nCoV-2019_88	49	SAMPLE2_PE
NC_045512.2	26835	27227	nCoV-2019_89	65	SAMPLE2_PE
NC_045512.2	27141	27533	nCoV-2019_90	87	SAMPLE2_PE
NC_045512.2	27446	27854	nCoV-2019_91	3	SAMPLE2_PE
NC_045512.2	27784	28172	nCoV-2019_92	24	SAMPLE2_PE
NC_045512.2	28081	28464	nCoV-2019_93	56	SAMPLE2_PE
NC_045512.2	28394	28779	nCoV-2019_94	25	SAMPLE2_PE
NC_045512.2	28677	29063	nCoV-2019_95	29	SAMPLE2_PE
NC_045512.2	28985	29378	nCoV-2019_96	30	SAMPLE2_PE
NC_045512.2	29288	29693	nCoV-2019_97	7	SAMPLE2_PE
NC_045512.2	29486	29866	nCoV-2019_98	1	SAMPLE2_PE
