chrom	start	end	region	coverage	sample
NC_045512.2	30	410	nCoV-2019_1	639	SAMPLE3_SE
NC_045512.2	320	726	nCoV-2019_2	137	SAMPLE3_SE
NC_045512.2	642	1028	nCoV-2019_3	1335	SAMPLE3_SE
NC_045512.2	943	1337	nCoV-2019_4	1387	SAMPLE3_SE
NC_045512.2	1242	1651	nCoV-2019_5	181	SAMPLE3_SE
NC_045512.2	1573	1964	nCoV-2019_6	156	SAMPLE3_SE
NC_045512.2	1875	2269	nCoV-2019_7	226	SAMPLE3_SE
NC_045512.2	2181	2592	nCoV-2019_8	214	SAMPLE3_SE
NC_045512.2	2505	2904	nCoV-2019_9	166	SAMPLE3_SE
NC_045512.2	2826	3210	nCoV-2019_10	134	SAMPLE3_SE
NC_045512.2	3144	3531	nCoV-2019_11	649	SAMPLE3_SE
NC_045512.2	3460	3853	nCoV-2019_12	164	SAMPLE3_SE
NC_045512.2	3771	4164	nCoV-2019_13	10	SAMPLE3_SE
NC_045512.2	4054	4450	nCoV-2019_14	1279	SAMPLE3_SE
NC_045512.2	4294	4696	nCoV-2019_15	11	SAMPLE3_SE
NC_045512.2	4636	5017	nCoV-2019_16	589	SAMPLE3_SE
NC_045512.2	4939	5321	nCoV-2019_17	25	SAMPLE3_SE
NC_045512.2	5230	5644	nCoV-2019_18	43	SAMPLE3_SE
NC_045512.2	5563	5957	nCoV-2019_19	367	SAMPLE3_SE
NC_045512.2	5867	6272	nCoV-2019_20	121	SAMPLE3_SE
NC_045512.2	6167	6550	nCoV-2019_21	54	SAMPLE3_SE
NC_045512.2	6466	6873	nCoV-2019_22	1350	SAMPLE3_SE
NC_045512.2	6718	7117	nCoV-2019_23	235	SAMPLE3_SE
NC_045512.2	7035	7415	nCoV-2019_24	514	SAMPLE3_SE
NC_045512.2	7305	7694	nCoV-2019_25	843	SAMPLE3_SE
NC_045512.2	7626	8019	nCoV-2019_26	83	SAMPLE3_SE
NC_045512.2	7943	8341	nCoV-2019_27	529	SAMPLE3_SE
NC_045512.2	8249	8661	nCoV-2019_28	35	SAMPLE3_SE
NC_045512.2	8595	8983	nCoV-2019_29	0	SAMPLE3_SE
NC_045512.2	8888	9271	nCoV-2019_30	525	SAMPLE3_SE
NC_045512.2	9204	9585	nCoV-2019_31	232	SAMPLE3_SE
NC_045512.2	9477	9858	nCoV-2019_32	87	SAMPLE3_SE
NC_045512.2	9784	10171	nCoV-2019_33	319	SAMPLE3_SE
NC_045512.2	10076	10459	nCoV-2019_34	1141	SAMPLE3_SE
NC_045512.2	10362	10763	nCoV-2019_35	156	SAMPLE3_SE
NC_045512.2	10666	11074	nCoV-2019_36	108	SAMPLE3_SE
NC_045512.2	10999	11394	nCoV-2019_37	359	SAMPLE3_SE
NC_045512.2	11306	11693	nCoV-2019_38	79	SAMPLE3_SE
NC_045512.2	11555	11949	nCoV-2019_39	139	SAMPLE3_SE
NC_045512.2	11863	12256	nCoV-2019_40	668	SAMPLE3_SE
NC_045512.2	12110	12490	nCoV-2019_41	432	SAMPLE3_SE
NC_045512.2	12417	12802	nCoV-2019_42	229	SAMPLE3_SE
NC_045512.2	12710	13096	nCoV-2019_43	179	SAMPLE3_SE
NC_045512.2	13005	13400	nCoV-2019_44	578	SAMPLE3_SE
NC_045512.2	13319	13699	nCoV-2019_45	107	SAMPLE3_SE
NC_045512.2	13599	13984	nCoV-2019_46	605	SAMPLE3_SE
NC_045512.2	13918	14299	nCoV-2019_47	698	SAMPLE3_SE
NC_045512.2	14207	14601	nCoV-2019_48	617	SAMPLE3_SE
NC_045512.2	14545	14926	nCoV-2019_49	1051	SAMPLE3_SE
NC_045512.2	14865	15246	nCoV-2019_50	1019	SAMPLE3_SE
NC_045512.2	15171	15560	nCoV-2019_51	317	SAMPLE3_SE
NC_045512.2	15481	15886	nCoV-2019_52	794	SAMPLE3_SE
NC_045512.2	15827	16209	nCoV-2019_53	1422	SAMPLE3_SE
NC_045512.2	16118	16510	nCoV-2019_54	280	SAMPLE3_SE
NC_045512.2	16416	16833	nCoV-2019_55	126	SAMPLE3_SE
NC_045512.2	16748	17152	nCoV-2019_56	305	SAMPLE3_SE
NC_045512.2	17065	17452	nCoV-2019_57	246	SAMPLE3_SE
NC_045512.2	17381	17761	nCoV-2019_58	1377	SAMPLE3_SE
NC_045512.2	17674	18062	nCoV-2019_59	812	SAMPLE3_SE
NC_045512.2	17966	18348	nCoV-2019_60	307	SAMPLE3_SE
NC_045512.2	18253	18672	nCoV-2019_61	316	SAMPLE3_SE
NC_045512.2	18596	18979	nCoV-2019_62	571	SAMPLE3_SE
NC_045512.2	18896	19297	nCoV-2019_63	428	SAMPLE3_SE
NC_045512.2	19204	19616	nCoV-2019_64	32	SAMPLE3_SE
NC_045512.2	19548	19939	nCoV-2019_65	98	SAMPLE3_SE
NC_045512.2	19844	20255	nCoV-2019_66	157	SAMPLE3_SE
NC_045512.2	20172	20572	nCoV-2019_67	394	SAMPLE3_SE
NC_045512.2	20472	20890	nCoV-2019_68	506	SAMPLE3_SE
NC_045512.2	20786	21169	nCoV-2019_69	328	SAMPLE3_SE
NC_045512.2	21075	21455	nCoV-2019_70	15	SAMPLE3_SE
NC_045512.2	21357	21743	nCoV-2019_71	32	SAMPLE3_SE
NC_045512.2	21658	22038	nCoV-2019_72	902	SAMPLE3_SE
NC_045512.2	21961	22346	nCoV-2019_73	523	SAMPLE3_SE
NC_045512.2	22262	22650	nCoV-2019_74	32	SAMPLE3_SE
NC_045512.2	22516	22903	nCoV-2019_75	282	SAMPLE3_SE
