chrom	start	end	coverage	sample
NC_045512.2	0	200	25.85	SAMPLE1_PE
NC_045512.2	200	400	39.82	SAMPLE1_PE
NC_045512.2	400	600	37.03	SAMPLE1_PE
NC_045512.2	600	800	76.1	SAMPLE1_PE
NC_045512.2	800	1000	119.66	SAMPLE1_PE
NC_045512.2	1000	1200	114.3	SAMPLE1_PE
NC_045512.2	1200	1400	88.47	SAMPLE1_PE
NC_045512.2	1400	1600	66.09	SAMPLE1_PE
NC_045512.2	1600	1800	86.28	SAMPLE1_PE
NC_045512.2	1800	2000	90.58	SAMPLE1_PE
NC_045512.2	2000	2200	103.31	SAMPLE1_PE
NC_045512.2	2200	2400	78	SAMPLE1_PE
NC_045512.2	2400	2600	62.64	SAMPLE1_PE
NC_045512.2	2600	2800	81.05	SAMPLE1_PE
NC_045512.2	2800	3000	62.39	SAMPLE1_PE
NC_045512.2	3000	3200	43.17	SAMPLE1_PE
NC_045512.2	3200	3400	81.09	SAMPLE1_PE
NC_045512.2	3400	3600	67.25	SAMPLE1_PE
NC_045512.2	3600	3800	54.42	SAMPLE1_PE
NC_045512.2	3800	4000	14.76	SAMPLE1_PE
NC_045512.2	4000	4200	51.39	SAMPLE1_PE
NC_045512.2	4200	4400	93	SAMPLE1_PE
NC_045512.2	4400	4600	22.16	SAMPLE1_PE
NC_045512.2	4600	4800	67	SAMPLE1_PE
NC_045512.2	4800	5000	103.81	SAMPLE1_PE
NC_045512.2	5000	5200	17.54	SAMPLE1_PE
NC_045512.2	5200	5400	14.11	SAMPLE1_PE
NC_045512.2	5400	5600	38.41	SAMPLE1_PE
NC_045512.2	5600	5800	48.08	SAMPLE1_PE
NC_045512.2	5800	6000	45.98	SAMPLE1_PE
NC_045512.2	6000	6200	46.99	SAMPLE1_PE
NC_045512.2	6200	6400	39.69	SAMPLE1_PE
NC_045512.2	6400	6600	121.21	SAMPLE1_PE
NC_045512.2	6600	6800	237.83	SAMPLE1_PE
NC_045512.2	6800	7000	103.87	SAMPLE1_PE
NC_045512.2	7000	7200	114.5	SAMPLE1_PE
NC_045512.2	7200	7400	131.75	SAMPLE1_PE
NC_045512.2	7400	7600	142.55	SAMPLE1_PE
NC_045512.2	7600	7800	61.77	SAMPLE1_PE
NC_045512.2	7800	8000	51.66	SAMPLE1_PE
NC_045512.2	8000	8200	50.59	SAMPLE1_PE
NC_045512.2	8200	8400	28.93	SAMPLE1_PE
NC_045512.2	8400	8600	12.41	SAMPLE1_PE
NC_045512.2	8600	8800	1.23	SAMPLE1_PE
NC_045512.2	8800	9000	25.19	SAMPLE1_PE
NC_045512.2	9000	9200	70.52	SAMPLE1_PE
NC_045512.2	9200	9400	58.2	SAMPLE1_PE
NC_045512.2	9400	9600	56.3	SAMPLE1_PE
NC_045512.2	9600	9800	48.38	SAMPLE1_PE
NC_045512.2	9800	10000	83.01	SAMPLE1_PE
NC_045512.2	10000	10200	118.13	SAMPLE1_PE
NC_045512.2	10200	10400	134.73	SAMPLE1_PE
NC_045512.2	10400	10600	77.54	SAMPLE1_PE
NC_045512.2	10600	10800	38.87	SAMPLE1_PE
NC_045512.2	10800	11000	48.81	SAMPLE1_PE
NC_045512.2	11000	11200	85.06	SAMPLE1_PE
NC_045512.2	11200	11400	94.79	SAMPLE1_PE
NC_045512.2	11400	11600	51.8	SAMPLE1_PE
NC_045512.2	11600	11800	65.4	SAMPLE1_PE
NC_045512.2	11800	12000	70.13	SAMPLE1_PE
NC_045512.2	12000	12200	91.24	SAMPLE1_PE
NC_045512.2	12200	12400	80.09	SAMPLE1_PE
NC_045512.2	12400	12600	59.42	SAMPLE1_PE
NC_045512.2	12600	12800	57.45	SAMPLE1_PE
NC_045512.2	12800	13000	72.22	SAMPLE1_PE
NC_045512.2	13000	13200	78.5	SAMPLE1_PE
NC_045512.2	13200	13400	80.06	SAMPLE1_PE
NC_045512.2	13400	13600	64.4	SAMPLE1_PE
NC_045512.2	13600	13800	104.87	SAMPLE1_PE
NC_045512.2	13800	14000	120.86	SAMPLE1_PE
NC_045512.2	14000	14200	151.04	SAMPLE1_PE
NC_045512.2	14200	14400	102.5	SAMPLE1_PE
NC_045512.2	14400	14600	79.21	SAMPLE1_PE
NC_045512.2	14600	14800	103.1	SAMPLE1_PE
NC_045512.2	14800	15000	93.28	SAMPLE1_PE
NC_045512.2	15000	15200	112.16	SAMPLE1_PE
NC_045512.2	15200	15400	82.29	SAMPLE1_PE
NC_045512.2	15400	15600	87.11	SAMPLE1_PE
NC_045512.2	15600	15800	128.91	SAMPLE1_PE
NC_045512.2	15800	16000	114.52	SAMPLE1_PE
NC_045512.2	16000	16200	122.73	SAMPLE1_PE
NC_045512.2	16200	16400	65.3	SAMPLE1_PE
NC_045512.2	16400	16600	63.95	SAMPLE1_PE
NC_045512.2	16600	16800	49.25	SAMPLE1_PE
NC_045512.2	16800	17000	76.95	SAMPLE1_PE
NC_045512.2	17000	17200	68.56	SAMPLE1_PE
NC_045512.2	17200	17400	71.91	SAMPLE1_PE
NC_045512.2	17400	17600	114.42	SAMPLE1_PE
NC_045512.2	17600	17800	102.29	SAMPLE1_PE
NC_045512.2	17800	18000	80.23	SAMPLE1_PE
NC_045512.2	18000	18200	83.51	SAMPLE1_PE
NC_045512.2	18200	18400	68.98	SAMPLE1_PE
NC_045512.2	18400	18600	72.3	SAMPLE1_PE
NC_045512.2	18600	18800	92.22	SAMPLE1_PE
NC_045512.2	18800	19000	100.26	SAMPLE1_PE
NC_045512.2	19000	19200	92.2	SAMPLE1_PE
