Assembly	SAMPLE2_PE.scaffolds	SAMPLE1_PE.scaffolds
# contigs (>= 0 bp)	27	7
# contigs (>= 1000 bp)	6	3
# contigs (>= 5000 bp)	2	3
# contigs (>= 10000 bp)	1	1
# contigs (>= 25000 bp)	0	0
# contigs (>= 50000 bp)	0	0
Total length (>= 0 bp)	41598	36445
Total length (>= 1000 bp)	32606	35151
Total length (>= 5000 bp)	16798	35151
Total length (>= 10000 bp)	10441	20973
Total length (>= 25000 bp)	0	0
Total length (>= 50000 bp)	0	0
# contigs	9	3
Largest contig	10441	20973
Total length	34939	35151
Reference length	29903	29903
GC (%)	39.13	39.03
Reference GC (%)	37.97	37.97
N50	4738	20973
NG50	6357	20973
N75	4051	8704
NG75	4070	8704
L50	3	1
LG50	2	1
L75	5	2
LG75	4	2
# misassemblies	0	0
# misassembled contigs	0	0
Misassembled contigs length	0	0
# local misassemblies	0	0
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	0	0
# unaligned contigs	3 + 0 part	1 + 0 part
Unaligned length	5432	5474
Genome fraction (%)	98.151	98.870
Duplication ratio	1.005	1.004
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	34.07	23.68
# indels per 100 kbp	3.41	0.00
# genomic features	22 + 8 part	26 + 6 part
Largest alignment	10414	20951
Total aligned length	29404	29565
NA50	4738	20951
NGA50	6357	20951
NA75	2895	8614
NGA75	4029	8614
LA50	3	1
LGA50	2	1
LA75	5	2
LGA75	4	2
