ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	1:1-8580,2:3984-1,1:8581-25442
id-NC_045512.2:1..265		1	265	partial	1:1-172
gene-GU280_gp01		266	21555	partial	1:173-8580,2:3984-1,1:8581-17200
cds-YP_009724389.1		266	13468	partial	1:173-8580,2:3984-1,1:8581-9113
cds-YP_009724389.1		13468	21555	complete	1:9113-17200
cds-YP_009725295.1		266	13483	partial	1:173-8580,2:3984-1,1:8581-9128
id-GU280_gp01		13476	13503	complete	1:9121-9148
id-GU280_gp01-2		13488	13542	complete	1:9133-9187
gene-GU280_gp02		21563	25384	complete	1:17208-21029
cds-YP_009724390.1		21563	25384	complete	1:17208-21029
gene-GU280_gp03		25393	26220	complete	1:21038-21865
cds-YP_009724391.1		25393	26220	complete	1:21038-21865
gene-GU280_gp04		26245	26472	complete	1:21890-22117
cds-YP_009724392.1		26245	26472	complete	1:21890-22117
gene-GU280_gp05		26523	27191	complete	1:22168-22836
cds-YP_009724393.1		26523	27191	complete	1:22168-22836
gene-GU280_gp06		27202	27387	complete	1:22847-23032
cds-YP_009724394.1		27202	27387	complete	1:22847-23032
gene-GU280_gp07		27394	27759	complete	1:23039-23404
cds-YP_009724395.1		27394	27759	complete	1:23039-23404
gene-GU280_gp08		27756	27887	complete	1:23401-23532
cds-YP_009725318.1		27756	27887	complete	1:23401-23532
gene-GU280_gp09		27894	28259	complete	1:23539-23904
cds-YP_009724396.1		27894	28259	complete	1:23539-23904
gene-GU280_gp10		28274	29533	complete	1:23919-25178
cds-YP_009724397.2		28274	29533	complete	1:23919-25178
gene-GU280_gp11		29558	29674	complete	1:25203-25319
cds-YP_009725255.1		29558	29674	complete	1:25203-25319
id-GU280_gp11		29609	29644	complete	1:25254-25289
id-GU280_gp11-2		29629	29657	complete	1:25274-25302
id-NC_045512.2:29675..29903		29675	29903	partial	1:25320-25442
id-NC_045512.2:29728..29768		29728	29768	complete	1:25373-25413
