chrom	start	end	coverage	sample
NC_045512.2	0	200	281.84	SAMPLE1_PE
NC_045512.2	200	400	405.77	SAMPLE1_PE
NC_045512.2	400	600	175.61	SAMPLE1_PE
NC_045512.2	600	800	798.96	SAMPLE1_PE
NC_045512.2	800	1000	1345.76	SAMPLE1_PE
NC_045512.2	1000	1200	1227.17	SAMPLE1_PE
NC_045512.2	1200	1400	595.01	SAMPLE1_PE
NC_045512.2	1400	1600	133.99	SAMPLE1_PE
NC_045512.2	1600	1800	136.76	SAMPLE1_PE
NC_045512.2	1800	2000	139.14	SAMPLE1_PE
NC_045512.2	2000	2200	171.31	SAMPLE1_PE
NC_045512.2	2200	2400	226.84	SAMPLE1_PE
NC_045512.2	2400	2600	201.44	SAMPLE1_PE
NC_045512.2	2600	2800	180.72	SAMPLE1_PE
NC_045512.2	2800	3000	187.03	SAMPLE1_PE
NC_045512.2	3000	3200	216.85	SAMPLE1_PE
NC_045512.2	3200	3400	592.94	SAMPLE1_PE
NC_045512.2	3400	3600	365.78	SAMPLE1_PE
NC_045512.2	3600	3800	241.02	SAMPLE1_PE
NC_045512.2	3800	4000	28.28	SAMPLE1_PE
NC_045512.2	4000	4200	631.34	SAMPLE1_PE
NC_045512.2	4200	4400	1218.68	SAMPLE1_PE
NC_045512.2	4400	4600	108.81	SAMPLE1_PE
NC_045512.2	4600	4800	395.44	SAMPLE1_PE
NC_045512.2	4800	5000	625.09	SAMPLE1_PE
NC_045512.2	5000	5200	29.34	SAMPLE1_PE
NC_045512.2	5200	5400	22.16	SAMPLE1_PE
NC_045512.2	5400	5600	74.1	SAMPLE1_PE
NC_045512.2	5600	5800	339.59	SAMPLE1_PE
NC_045512.2	5800	6000	253.06	SAMPLE1_PE
NC_045512.2	6000	6200	161.07	SAMPLE1_PE
NC_045512.2	6200	6400	82.85	SAMPLE1_PE
NC_045512.2	6400	6600	763.78	SAMPLE1_PE
NC_045512.2	6600	6800	1951.73	SAMPLE1_PE
NC_045512.2	6800	7000	473.16	SAMPLE1_PE
NC_045512.2	7000	7200	331.58	SAMPLE1_PE
NC_045512.2	7200	7400	495.4	SAMPLE1_PE
NC_045512.2	7400	7600	952.24	SAMPLE1_PE
NC_045512.2	7600	7800	262.27	SAMPLE1_PE
NC_045512.2	7800	8000	148.33	SAMPLE1_PE
NC_045512.2	8000	8200	566.17	SAMPLE1_PE
NC_045512.2	8200	8400	281.86	SAMPLE1_PE
NC_045512.2	8400	8600	52.49	SAMPLE1_PE
