chrom	start	end	region	coverage	sample
NC_045512.2	30	410	nCoV-2019_1	22	SAMPLE3_SE
NC_045512.2	320	726	nCoV-2019_2	18	SAMPLE3_SE
NC_045512.2	642	1028	nCoV-2019_3	40	SAMPLE3_SE
NC_045512.2	943	1337	nCoV-2019_4	44	SAMPLE3_SE
NC_045512.2	1242	1651	nCoV-2019_5	32	SAMPLE3_SE
NC_045512.2	1573	1964	nCoV-2019_6	39	SAMPLE3_SE
NC_045512.2	1875	2269	nCoV-2019_7	63	SAMPLE3_SE
NC_045512.2	2181	2592	nCoV-2019_8	40	SAMPLE3_SE
NC_045512.2	2505	2904	nCoV-2019_9	35	SAMPLE3_SE
NC_045512.2	2826	3210	nCoV-2019_10	22	SAMPLE3_SE
NC_045512.2	3144	3531	nCoV-2019_11	38	SAMPLE3_SE
NC_045512.2	3460	3853	nCoV-2019_12	20	SAMPLE3_SE
NC_045512.2	3771	4164	nCoV-2019_13	10	SAMPLE3_SE
NC_045512.2	4054	4450	nCoV-2019_14	40	SAMPLE3_SE
NC_045512.2	4294	4696	nCoV-2019_15	10	SAMPLE3_SE
NC_045512.2	4636	5017	nCoV-2019_16	39	SAMPLE3_SE
NC_045512.2	4939	5321	nCoV-2019_17	9	SAMPLE3_SE
NC_045512.2	5230	5644	nCoV-2019_18	7	SAMPLE3_SE
NC_045512.2	5563	5957	nCoV-2019_19	17	SAMPLE3_SE
NC_045512.2	5867	6272	nCoV-2019_20	15	SAMPLE3_SE
NC_045512.2	6167	6550	nCoV-2019_21	18	SAMPLE3_SE
NC_045512.2	6466	6873	nCoV-2019_22	62	SAMPLE3_SE
NC_045512.2	6718	7117	nCoV-2019_23	50	SAMPLE3_SE
NC_045512.2	7035	7415	nCoV-2019_24	58	SAMPLE3_SE
NC_045512.2	7305	7694	nCoV-2019_25	60	SAMPLE3_SE
NC_045512.2	7626	8019	nCoV-2019_26	21	SAMPLE3_SE
NC_045512.2	7943	8341	nCoV-2019_27	21	SAMPLE3_SE
NC_045512.2	8249	8661	nCoV-2019_28	8	SAMPLE3_SE
NC_045512.2	8595	8983	nCoV-2019_29	0	SAMPLE3_SE
NC_045512.2	8888	9271	nCoV-2019_30	28	SAMPLE3_SE
NC_045512.2	9204	9585	nCoV-2019_31	28	SAMPLE3_SE
NC_045512.2	9477	9858	nCoV-2019_32	22	SAMPLE3_SE
NC_045512.2	9784	10171	nCoV-2019_33	46	SAMPLE3_SE
NC_045512.2	10076	10459	nCoV-2019_34	49	SAMPLE3_SE
NC_045512.2	10362	10763	nCoV-2019_35	27	SAMPLE3_SE
NC_045512.2	10666	11074	nCoV-2019_36	30	SAMPLE3_SE
NC_045512.2	10999	11394	nCoV-2019_37	49	SAMPLE3_SE
NC_045512.2	11306	11693	nCoV-2019_38	30	SAMPLE3_SE
NC_045512.2	11555	11949	nCoV-2019_39	26	SAMPLE3_SE
NC_045512.2	11863	12256	nCoV-2019_40	33	SAMPLE3_SE
NC_045512.2	12110	12490	nCoV-2019_41	32	SAMPLE3_SE
NC_045512.2	12417	12802	nCoV-2019_42	27	SAMPLE3_SE
NC_045512.2	12710	13096	nCoV-2019_43	33	SAMPLE3_SE
NC_045512.2	13005	13400	nCoV-2019_44	37	SAMPLE3_SE
NC_045512.2	13319	13699	nCoV-2019_45	28	SAMPLE3_SE
NC_045512.2	13599	13984	nCoV-2019_46	57	SAMPLE3_SE
NC_045512.2	13918	14299	nCoV-2019_47	60	SAMPLE3_SE
NC_045512.2	14207	14601	nCoV-2019_48	43	SAMPLE3_SE
NC_045512.2	14545	14926	nCoV-2019_49	35	SAMPLE3_SE
NC_045512.2	14865	15246	nCoV-2019_50	54	SAMPLE3_SE
NC_045512.2	15171	15560	nCoV-2019_51	43	SAMPLE3_SE
NC_045512.2	15481	15886	nCoV-2019_52	54	SAMPLE3_SE
NC_045512.2	15827	16209	nCoV-2019_53	55	SAMPLE3_SE
NC_045512.2	16118	16510	nCoV-2019_54	22	SAMPLE3_SE
NC_045512.2	16416	16833	nCoV-2019_55	20	SAMPLE3_SE
NC_045512.2	16748	17152	nCoV-2019_56	29	SAMPLE3_SE
NC_045512.2	17065	17452	nCoV-2019_57	34	SAMPLE3_SE
NC_045512.2	17381	17761	nCoV-2019_58	46	SAMPLE3_SE
NC_045512.2	17674	18062	nCoV-2019_59	33	SAMPLE3_SE
NC_045512.2	17966	18348	nCoV-2019_60	31	SAMPLE3_SE
NC_045512.2	18253	18672	nCoV-2019_61	49	SAMPLE3_SE
NC_045512.2	18596	18979	nCoV-2019_62	57	SAMPLE3_SE
NC_045512.2	18896	19297	nCoV-2019_63	37	SAMPLE3_SE
NC_045512.2	19204	19616	nCoV-2019_64	12	SAMPLE3_SE
NC_045512.2	19548	19939	nCoV-2019_65	15	SAMPLE3_SE
NC_045512.2	19844	20255	nCoV-2019_66	32	SAMPLE3_SE
NC_045512.2	20172	20572	nCoV-2019_67	36	SAMPLE3_SE
NC_045512.2	20472	20890	nCoV-2019_68	34	SAMPLE3_SE
NC_045512.2	20786	21169	nCoV-2019_69	29	SAMPLE3_SE
NC_045512.2	21075	21455	nCoV-2019_70	4	SAMPLE3_SE
NC_045512.2	21357	21743	nCoV-2019_71	4	SAMPLE3_SE
NC_045512.2	21658	22038	nCoV-2019_72	31	SAMPLE3_SE
