ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	2:8580-1,1:1-20847
id-NC_045512.2:1..265		1	265	partial	2:8580-8409
gene-GU280_gp01		266	21555	partial	2:8408-1,1:1-12604
cds-YP_009724389.1		266	13468	partial	2:8408-1,1:1-4517
cds-YP_009724389.1		13468	21555	complete	1:4517-12604
cds-YP_009725295.1		266	13483	partial	2:8408-1,1:1-4532
id-GU280_gp01		13476	13503	complete	1:4525-4552
id-GU280_gp01-2		13488	13542	complete	1:4537-4591
gene-GU280_gp02		21563	25384	complete	1:12612-16433
cds-YP_009724390.1		21563	25384	complete	1:12612-16433
gene-GU280_gp03		25393	26220	complete	1:16442-17269
cds-YP_009724391.1		25393	26220	complete	1:16442-17269
gene-GU280_gp04		26245	26472	complete	1:17294-17521
cds-YP_009724392.1		26245	26472	complete	1:17294-17521
gene-GU280_gp05		26523	27191	complete	1:17572-18240
cds-YP_009724393.1		26523	27191	complete	1:17572-18240
gene-GU280_gp06		27202	27387	complete	1:18251-18436
cds-YP_009724394.1		27202	27387	complete	1:18251-18436
gene-GU280_gp07		27394	27759	complete	1:18443-18808
cds-YP_009724395.1		27394	27759	complete	1:18443-18808
gene-GU280_gp08		27756	27887	complete	1:18805-18936
cds-YP_009725318.1		27756	27887	complete	1:18805-18936
gene-GU280_gp09		27894	28259	complete	1:18943-19308
cds-YP_009724396.1		27894	28259	complete	1:18943-19308
gene-GU280_gp10		28274	29533	complete	1:19323-20582
cds-YP_009724397.2		28274	29533	complete	1:19323-20582
gene-GU280_gp11		29558	29674	complete	1:20607-20723
cds-YP_009725255.1		29558	29674	complete	1:20607-20723
id-GU280_gp11		29609	29644	complete	1:20658-20693
id-GU280_gp11-2		29629	29657	complete	1:20678-20706
id-NC_045512.2:29675..29903		29675	29903	partial	1:20724-20847
id-NC_045512.2:29728..29768		29728	29768	complete	1:20777-20817
