chrom	start	end	coverage	sample
NC_045512.2	0	200	388.05	SAMPLE3_SE
NC_045512.2	200	400	526.22	SAMPLE3_SE
NC_045512.2	400	600	129.87	SAMPLE3_SE
NC_045512.2	600	800	777.84	SAMPLE3_SE
NC_045512.2	800	1000	1281.96	SAMPLE3_SE
NC_045512.2	1000	1200	1307	SAMPLE3_SE
NC_045512.2	1200	1400	643.48	SAMPLE3_SE
NC_045512.2	1400	1600	157.18	SAMPLE3_SE
NC_045512.2	1600	1800	154.11	SAMPLE3_SE
NC_045512.2	1800	2000	165.84	SAMPLE3_SE
NC_045512.2	2000	2200	226.25	SAMPLE3_SE
NC_045512.2	2200	2400	207.87	SAMPLE3_SE
NC_045512.2	2400	2600	174.52	SAMPLE3_SE
NC_045512.2	2600	2800	165.68	SAMPLE3_SE
NC_045512.2	2800	3000	132.71	SAMPLE3_SE
NC_045512.2	3000	3200	167.63	SAMPLE3_SE
NC_045512.2	3200	3400	619.09	SAMPLE3_SE
NC_045512.2	3400	3600	320.94	SAMPLE3_SE
NC_045512.2	3600	3800	149.71	SAMPLE3_SE
NC_045512.2	3800	4000	19.99	SAMPLE3_SE
NC_045512.2	4000	4200	596.14	SAMPLE3_SE
NC_045512.2	4200	4400	1138.29	SAMPLE3_SE
NC_045512.2	4400	4600	101.48	SAMPLE3_SE
NC_045512.2	4600	4800	332.33	SAMPLE3_SE
NC_045512.2	4800	5000	513.05	SAMPLE3_SE
NC_045512.2	5000	5200	26.83	SAMPLE3_SE
NC_045512.2	5200	5400	21.28	SAMPLE3_SE
NC_045512.2	5400	5600	59.59	SAMPLE3_SE
NC_045512.2	5600	5800	334.02	SAMPLE3_SE
NC_045512.2	5800	6000	234.03	SAMPLE3_SE
NC_045512.2	6000	6200	111.11	SAMPLE3_SE
NC_045512.2	6200	6400	61.67	SAMPLE3_SE
NC_045512.2	6400	6600	850.49	SAMPLE3_SE
NC_045512.2	6600	6800	2073.4	SAMPLE3_SE
NC_045512.2	6800	7000	421.4	SAMPLE3_SE
NC_045512.2	7000	7200	363.26	SAMPLE3_SE
NC_045512.2	7200	7400	586.75	SAMPLE3_SE
NC_045512.2	7400	7600	867.81	SAMPLE3_SE
NC_045512.2	7600	7800	229.93	SAMPLE3_SE
NC_045512.2	7800	8000	119.16	SAMPLE3_SE
NC_045512.2	8000	8200	484.89	SAMPLE3_SE
NC_045512.2	8200	8400	234.43	SAMPLE3_SE
NC_045512.2	8400	8600	31.77	SAMPLE3_SE
NC_045512.2	8600	8800	3.28	SAMPLE3_SE
NC_045512.2	8800	9000	159.18	SAMPLE3_SE
NC_045512.2	9000	9200	517.6	SAMPLE3_SE
NC_045512.2	9200	9400	256.62	SAMPLE3_SE
NC_045512.2	9400	9600	180.99	SAMPLE3_SE
NC_045512.2	9600	9800	80.56	SAMPLE3_SE
NC_045512.2	9800	10000	255.15	SAMPLE3_SE
NC_045512.2	10000	10200	614.22	SAMPLE3_SE
NC_045512.2	10200	10400	1103.63	SAMPLE3_SE
NC_045512.2	10400	10600	268.22	SAMPLE3_SE
NC_045512.2	10600	10800	100.14	SAMPLE3_SE
NC_045512.2	10800	11000	105.43	SAMPLE3_SE
NC_045512.2	11000	11200	269.53	SAMPLE3_SE
NC_045512.2	11200	11400	286.56	SAMPLE3_SE
