ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	0:1-3807,4:2997-1,2:1-8200,11:2239-1,7:1-1853,13:630-1,10:1-748,3:1-691,9:1528-1,6:1687-1,5:1-1909
id-NC_045512.2:1..265		1	265	partial	0:1-219
gene-GU280_gp01		266	21555	partial	0:220-3807,4:2997-1,2:1-8200,11:2239-1,7:1-1853
cds-YP_009724389.1		266	13468	partial	0:220-3807,4:2997-1,2:1-4580
cds-YP_009724389.1		13468	21555	partial	2:4580-8200,11:2239-1,7:1-1853
cds-YP_009725295.1		266	13483	partial	0:220-3807,4:2997-1,2:1-4595
id-GU280_gp01		13476	13503	complete	2:4588-4615
id-GU280_gp01-2		13488	13542	complete	2:4600-4654
gene-GU280_gp02		21563	25384	partial	13:630-1,10:1-748,3:1-691,9:1528-290
cds-YP_009724390.1		21563	25384	partial	13:630-1,10:1-748,3:1-691,9:1528-290
gene-GU280_gp03		25393	26220	partial	9:281-1,6:1687-1314
cds-YP_009724391.1		25393	26220	partial	9:281-1,6:1687-1314
gene-GU280_gp04		26245	26472	complete	6:1289-1062
cds-YP_009724392.1		26245	26472	complete	6:1289-1062
gene-GU280_gp05		26523	27191	complete	6:1011-343
cds-YP_009724393.1		26523	27191	complete	6:1011-343
gene-GU280_gp06		27202	27387	complete	6:332-147
cds-YP_009724394.1		27202	27387	complete	6:332-147
gene-GU280_gp07		27394	27759	partial	6:140-1
cds-YP_009724395.1		27394	27759	partial	6:140-1
gene-GU280_gp08		27756	27887	partial	5:1-103
cds-YP_009725318.1		27756	27887	partial	5:1-103
gene-GU280_gp09		27894	28259	complete	5:110-475
cds-YP_009724396.1		27894	28259	complete	5:110-475
gene-GU280_gp10		28274	29533	complete	5:490-1749
cds-YP_009724397.2		28274	29533	complete	5:490-1749
gene-GU280_gp11		29558	29674	complete	5:1774-1890
cds-YP_009725255.1		29558	29674	complete	5:1774-1890
id-GU280_gp11		29609	29644	complete	5:1825-1860
id-GU280_gp11-2		29629	29657	complete	5:1845-1873
